,title,company,description,location,state,salary,jobtype,skill,degree
455,Data Scientist,ModivCare,Good data VISUALIZATION and communication skills. This will include preparing and delivering presentations with rich data VISUALIZATIONs and meaningful   BACHELOR  ness…,California,CA,"$78,692 - $132,728 a year",,VISUALIZATION,BACHELOR
456,Data Engineer,Progressive,Advanced programming experience in programming languages used in analytics and data science (e.g. PYTHON). As a Data Engineering Lead or Consultant on the Data…,"Mayfield Village, OH",OH,"$97,900 - $126,700 a year",,,
457,Data Scientist,Enigma,Have experience combining diverse sets of data at scale. Exploring new data sets and extracting the signal that powers our products.,New York State,NY,,,,
458,Data Analyst,Blue and Company,"2+ years’ experience as a data analyst,   BACHELOR  ness analyst, or data report writer required. Provide recommendations for data strategy and organization.","Louisville, KY",KY,,,,BACHELOR
459,Data Analyst,Los Angeles Homeless Services Authority,"Practiced experience in collecting primary data, utilizing secondary data, as well as organizing and managing administrative data.","Los Angeles, CA",CA,"$58,240 - $76,638 a year",,,
460,Data Scientist,Continental AG,"Analyze large data sets on high performance cloud environment. As a data scientist you will work closely with data and software engineers, field intelligence…","Fort Mill, SC",SC,,,,
461,Data Analyst,Jackson Lewis P.C,"At least 8 years’ experience in data analytics or data science roles including 5 years’ experience leading a high performing, collaborative data analytics team.","New York, NY",NY,"$150,000 - $200,000 a year",,,
462,Data Analyst,Tradesy,4-8 years experience in an analytics or data related role. Experience with SQL and large data sets (terabyte scale) is a mus t.,California,CA,,,SQL,
463,Data Analyst,Dandy,Dandy's data program is newly led by a team with a proven track record of building data practices at hypergrowth companies. Direct experience in Data Analytics.,"New York, NY",NY,,,,
464,Data Scientist,"Iridium Satellite, LLC","Respond to internal data inquiries. Demonstrates proficiency in developing, tuning, and executing efficient data queries from a variety of sources (data  BACHELOR  s…","Chandler, AZ",AZ,,,,BACHELOR
465,Data Scientist,Consumers' Checkbook/Center for the Study of Services,"3+ years data management, including multiple data sources which refresh frequently. Experience with analysis and summary of health insurance markets, plan data,…","Washington, DC",DC,$48 - $74 an hour,,,
466,Data Analyst,Afiniti,"Responsible to create stored procedures and scripts, reconcile data, ensure data integrity, define data joining procedures, and performing STATISTICSal trend…","Washington, DC",DC,,,,
467,Data Analyst,Booz Allen Hamilton,"Participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal…","Washington, DC",DC,,,,
468,Data Scientist,Day & Zimmermann - Corporate TA,Responsible for advanced analytical capabilities in support of D&Z data science initiatives. Responsible for applying advanced STATISTICSal concepts to analyze…,"Philadelphia, PA",PA,,,,
469,Data Scientist,iknowvate technologies,"PYTHON, SQL, VISUALIZATION, data science experience.   BACHELOR  's degree in Computer science or equivalent, with minimum 8+ Years of relevant experience.","Philadelphia, PA",PA,,,,BACHELOR
470,Data Scientist,Certified Collectibles Group,"Comfortable suggesting and implementing data pipeline changes. Comfortable dealing with disparate, unstructured, multilingual data sources.","Sarasota, FL",FL,,,,
471,Data Scientist,Barbaricum,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data. Active DoD TS/SCI clearance.","Virginia Beach, VA",VA,,,,
472,Data Scientist,Spotify,"You should have strong experimentation, metric & data creation, and data VISUALIZATION skills as well as possess excellent communication skills to interface…","New York, NY",NY,,,VISUALIZATION,
473,Data Scientist,BTAS,"Apply data to develop and provide analytical support to all levels of management. Create, develop, and/or apply existing tools and techniques to conduct data…","Langley AFB, VA",VA,,,,
474,Data Scientist,TechnoServe,"This will require a deep understanding of data structure, data processing, and software functions to support data flow and interoperability between systems.","Arlington, VA",VA,,,,
475,Data Engineer,"Scuttlebutt Services, LLC",Generating representative data sets for systems development and data science initiatives. 4+ years of experience designing data models and data warehouses…,"Chantilly, VA",VA,"$180,000 - $200,000 a year",,,
476,Data Analyst,Sendle,Work with   BACHELOR  ness intelligence and data engineering to design and develop data infrastructure to support partnerships evolution and growth.,Washington State +1 location,WA,,,,BACHELOR
477,Data Engineer,Pricesenz,"This position develops, tests, and maintains scalable and efficient data pipelines to acquire and transform large volumes of structured and unstructured data,…","Petersburg, VA",VA,,,,
478,Data Scientist,Webstore Group,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Tamarac, FL",FL,,,,
479,Data Analyst,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. We partner closely with several cross-functional teams,…","Seattle, WA",WA,,,SQL,
480,Data Engineer,Panasonic Corporation of North America,Experience with visualizing data (e.g. data VISUALIZATIONs). You will work in a small team of data science and algorithm engineers to expand our internal and…,"Palo Alto, CA",CA,,,,
481,Data Analyst,Bossier Parish Community College,"Perform exploratory data analysis and VISUALIZATION to get a better appreciation of the data. Minimum 3 years work experience in institutional research,…","Bossier City, LA",LA,,,VISUALIZATION,
482,Data Scientist,"Denali System Co., Ltd",Data science: 1 year (Preferred). Proven Experience in working with large scale data systems. Familiar with commonly used data analysis methods and very good…,"Mountain View, CA",CA,,,,
483,Data Analyst,Imidex,"BS Degree in data science, engineering, computer science, mathematics or related field with 2 or more years of related experience.","Denver, CO",CO,"$70,000 - $115,000 a year",,,
484,Data Scientist,University of California San Francisco,Must be interested in enabling health science through working on collaborative data science projects as well as building data science infrastructure and…,"San Francisco, CA",CA,,,,
485,Data Scientist,Smith Micro Software,"Able to understand various data streams and current methods in data transformation. 2+ years practical experience with data processing, data  BACHELOR   programming and…","Pittsburgh, PA",PA,,,,BACHELOR
486,Data Analyst,Indeed,"Curiosity and passion for data and data VISUALIZATION. 4+ years of relevant experience in a data science,   BACHELOR  ness analytics,   BACHELOR  ness intelligence or…","Austin, TX",TX,"$89,000 - $118,000 a year",,,BACHELOR
487,Data Analyst,ENGAGE Talent,Troubleshoot problems with data and processing. Eagerness to learn new skills and become an expert on the data and data modeling techniques as well as on the…,"Junior, WV",WV,,,,
488,Data Scientist,PayPal,"Collaborate with external partners, including external credit/banking partners and data vendors. Through a combination of technological innovation and strategic…","Timonium, MD +4 locations",MD,,,,
489,Data Scientist,Emerson,Help to create customer-focused analytics with data scientist peers. Generates reports for decision-making using data VISUALIZATION tools.,"Sidney, OH +1 location",OH,,,VISUALIZATION,
490,Data Analyst,The Coca-Cola Company,"This job requires experience in analyzing big data using proven STATISTICSal tools and techniques, experience with solving data management problems and with…","Atlanta, GA",GA,,,,
491,Data Scientist,"JPMorgan Chase Bank, N.A.","We have unified data and analytics talent across the firm and encompass a variety of disciplines including data science, reporting, quantitative analytics, and…","Jersey City, NJ",NJ,,,,
492,Data Scientist,Hiscox,"Create data views and own data quality. This role is a mix of data science, engineering and   BACHELOR  ness analytics. Partner with   BACHELOR  ness to solve problems.","Atlanta, GA",GA,,,,BACHELOR
493,Data Scientist,ID.me,"Partner with leadership and stakeholders to develop our data science function. In this role, you will work closely with the data team, various operational teams…",Virginia,VA,,,,
494,Data Analyst,"Wellview, Inc.",Background in data warehouse design (e.g. dimensional modeling) and data mining. Collaborate with the technology team to integrate new data elements and…,"Nashville, TN",TN,,,,
495,Data Analyst,Samsara,"4+ years experience as a data analyst, data engineer, or related role. Experience with data VISUALIZATION, preferably in VISUALIZATION.",California,CA,,,,
496,Data Scientist,American Credit Acceptance,"Leverage R, PYTHON, SQL, VISUALIZATION, and other quantitative analytical techniques to extract and manipulate data, as well as to develop, analyze, validate and…","Spartanburg, SC",SC,,,,
